1.0 C n79 M1
81.59999999999964 CONN n79 n43 up
81.59999999999964 S n79 n43 M1
81.69999999999963 R n79 M1
81.69999999999963 DE n79 n43 M1 D
117.4999999999976 CONN n79 n43 down
214.3999999999921 CONN n83 n89 up
273.29999999999364 CONN n83 n89 down
536.3000000000534 CONN n79 n22 up
536.4000000000534 CONN n43 n22 up
573.6000000000619 CONN n43 n79 up
622.600000000073 CONN n22 n43 down
629.4000000000746 CONN n79 n43 down
696.0000000000897 CONN n22 n79 down
1124.4000000000729 CONN n91 n83 up
1152.1000000000477 CONN n83 n91 down
1247.6999999999607 CONN n19 n22 up
1320.4999999998945 CONN n19 n22 down
1419.5999999998044 CONN n89 n22 up
1469.2999999997592 CONN n22 n89 down
1904.799999999363 CONN n25 n43 up
1923.9999999993456 CONN n25 n43 down
2002.799999999274 CONN n83 n106 up
2036.799999999243 CONN n106 n83 down
2211.499999999084 CONN n19 n83 up
2246.1999999990526 CONN n106 n19 up
2297.499999999006 CONN n106 n83 up
2307.299999998997 CONN n83 n19 down
2320.299999998985 CONN n83 n106 down
2399.699999998913 CONN n40 n43 up
2419.7999999988947 CONN n43 n40 down
2450.6999999988666 CONN n106 n19 down
2706.9999999986335 CONN n106 n117 up
2721.1999999986206 CONN n117 n89 up
2773.299999998573 CONN n106 n117 down
2825.9999999985253 CONN n89 n117 down
2830.899999998521 CONN n117 n19 up
2844.5999999985083 CONN n19 n89 up
2894.6999999984628 CONN n117 n19 down
2903.8999999984544 CONN n117 n89 up
2913.4999999984457 CONN n89 n19 down
3038.299999998332 CONN n89 n25 up
3040.3999999983303 CONN n117 n89 down
3127.699999998251 CONN n25 n89 down
3620.099999997803 CONN n19 n22 up
3658.1999999977684 CONN n19 n22 down
3793.699999997645 CONN n43 n7 up
3814.699999997626 CONN n43 n7 down
3925.2999999975254 CONN n40 n25 up
3945.699999997507 CONN n25 n40 down
4273.999999998017 CONN n40 n22 up
4321.899999998192 CONN n40 n22 down
5230.300000001496 CONN n25 n7 up
5245.10000000155 CONN n25 n7 down
6496.700000006103 CONN n7 n22 up
6558.200000006327 CONN n7 n22 down
6907.500000007598 CONN n22 n7 up
6911.600000007613 CONN n7 n91 up
6932.600000007689 CONN n91 n7 down
6981.100000007866 CONN n7 n22 down
7419.2000000094595 CONN n37 n22 up
7459.000000009604 CONN n22 n37 down
7987.000000011525 CONN n119 n95 up
7988.000000011529 CONN n113 n95 up
7988.000000011529 CONN n113 n119 up
7990.700000011539 CONN n119 n95 down
7990.900000011539 CONN n113 n95 down
7995.000000011554 CONN n30 n119 up
7995.000000011554 CONN n30 n113 up
8027.800000011674 CONN n119 n30 down
8038.900000011714 CONN n30 n113 down
8150.1000000121185 CONN n119 n113 down
11127.800000022951 CONN n37 n119 up
11177.300000023131 CONN n37 n119 down
11277.900000023497 CONN n30 n119 up
11318.400000023645 CONN n30 n119 down
11360.300000023797 CONN n37 n95 up
11423.400000024027 CONN n37 n95 down
11446.000000024109 CONN n30 n95 up
11509.900000024341 CONN n30 n95 down
11581.300000024601 CONN n30 n37 up
11610.500000024707 CONN n113 n37 up
11616.80000002473 CONN n113 n30 up
11661.900000024894 CONN n113 n30 down
11672.900000024934 CONN n37 n113 down
11719.000000025102 CONN n30 n37 down
14876.60000003659 CONN n119 n30 up
14880.900000036605 CONN n119 n113 up
14898.300000036668 CONN n113 n30 up
14979.700000036964 CONN n30 n113 down
14981.700000036972 CONN n119 n30 down
15000.000000037038 CONN n113 n119 down
15000.000000037038 CONN n119 n113 up
15000.000000037038 CONN n119 n113 down
