1.0 C n79 M1
5.099999999999998 CONN n693 n510 up
5.099999999999998 CONN n815 n511 up
6.099999999999994 CONN n189 n511 up
6.099999999999994 CONN n189 n815 up
6.099999999999994 CONN n444 n511 up
6.099999999999994 CONN n444 n189 up
7.099999999999991 CONN n833 n511 up
7.099999999999991 CONN n833 n815 up
7.099999999999991 CONN n833 n189 up
7.099999999999991 CONN n833 n444 up
8.099999999999987 CONN n591 n511 up
8.099999999999987 CONN n591 n189 up
8.099999999999987 CONN n591 n444 up
10.09999999999998 CONN n18 n422 up
10.09999999999998 CONN n18 n7 up
10.09999999999998 CONN n18 n833 up
11.099999999999977 CONN n705 n189 up
11.099999999999977 CONN n705 n833 up
11.099999999999977 CONN n705 n422 up
11.099999999999977 CONN n705 n444 up
11.099999999999977 CONN n705 n18 up
11.499999999999975 CONN n422 n7 up
14.099999999999966 CONN n374 n513 up
14.599999999999964 CONN n534 n217 up
16.29999999999996 CONN n705 n833 down
16.699999999999967 CONN n513 n374 down
17.199999999999974 CONN n815 n444 up
18.099999999999987 CONN n705 n511 up
18.099999999999987 CONN n32 n511 up
18.099999999999987 CONN n32 n189 up
18.099999999999987 CONN n32 n833 up
18.099999999999987 CONN n32 n444 up
18.099999999999987 CONN n32 n7 up
18.099999999999987 CONN n32 n18 up
18.099999999999987 CONN n32 n705 up
19.0 CONN n107 n131 up
19.0 CONN n413 n511 up
19.0 CONN n413 n815 up
19.0 CONN n413 n189 up
19.0 CONN n413 n591 up
19.0 CONN n413 n833 up
19.0 CONN n413 n444 up
19.0 CONN n413 n705 up
19.0 CONN n413 n32 up
21.00000000000003 CONN n51 n511 up
21.00000000000003 CONN n51 n815 up
21.00000000000003 CONN n51 n189 up
21.00000000000003 CONN n51 n591 up
21.00000000000003 CONN n51 n444 up
21.00000000000003 CONN n51 n413 up
21.00000000000003 CONN n853 n511 up
21.00000000000003 CONN n853 n189 up
21.00000000000003 CONN n853 n591 up
21.00000000000003 CONN n853 n51 up
21.00000000000003 CONN n853 n444 up
21.00000000000003 CONN n853 n705 up
21.00000000000003 CONN n853 n32 up
21.00000000000003 CONN n853 n413 up
21.10000000000003 CONN n591 n815 up
22.700000000000053 CONN n815 n444 down
22.800000000000054 CONN n538 n677 up
22.800000000000054 CONN n422 n705 down
24.00000000000007 CONN n878 n511 up
24.00000000000007 CONN n878 n815 up
24.00000000000007 CONN n878 n591 up
24.00000000000007 CONN n878 n833 up
24.00000000000007 CONN n878 n51 up
